stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(0, 0)","(44, 18)","(0, 0)","(44, 18)",62,0,62,68,-6,2,0,0.093,0.06,0.0,0.153
matching_astar,1,"(0, 4)","(36, 10)","(0, 4)","(36, 10)",42,0,42,68,-26,2,0,0.063,0.06,0.0,0.123
matching_astar,2,"(0, 8)","(40, 14)","(0, 8)","(40, 14)",46,0,46,68,-22,2,0,0.069,0.06,0.0,0.129
matching_astar,3,"(0, 12)","(32, 14)","(0, 12)","(32, 14)",34,0,34,68,-34,2,0,0.051,0.06,0.0,0.111
matching_astar,4,"(0, 16)","(28, 18)","(0, 16)","(28, 18)",30,0,30,68,-38,2,0,0.045,0.06,0.0,0.105
matching_astar,5,"(0, 20)","(36, 18)","(0, 20)","(36, 18)",38,0,38,68,-30,2,0,0.057,0.06,0.0,0.117
matching_astar,6,"(0, 24)","(32, 22)","(0, 24)","(32, 22)",34,0,34,68,-34,2,0,0.051,0.06,0.0,0.111
matching_astar,7,"(0, 28)","(40, 22)","(0, 28)","(40, 22)",46,0,46,68,-22,2,0,0.069,0.06,0.0,0.129
matching_astar,8,"(0, 32)","(36, 26)","(0, 32)","(36, 26)",42,0,42,68,-26,2,0,0.063,0.06,0.0,0.123
matching_detour,0,"(0, 0)","(44, 18)","(0, 0)","(44, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,1,"(0, 4)","(36, 10)","(0, 4)","(36, 10)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,2,"(0, 8)","(40, 14)","(0, 8)","(40, 14)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,3,"(0, 12)","(32, 14)","(0, 12)","(32, 14)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,4,"(0, 16)","(28, 18)","(0, 16)","(28, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,5,"(0, 20)","(36, 18)","(0, 20)","(36, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,6,"(0, 24)","(32, 22)","(0, 24)","(32, 22)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,7,"(0, 28)","(40, 22)","(0, 28)","(40, 22)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_detour,8,"(0, 32)","(36, 26)","(0, 32)","(36, 26)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,0,"(0, 0)","(44, 18)","(0, 0)","(44, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,1,"(0, 4)","(36, 10)","(0, 4)","(36, 10)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,2,"(0, 8)","(40, 14)","(0, 8)","(40, 14)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,3,"(0, 12)","(32, 14)","(0, 12)","(32, 14)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,4,"(0, 16)","(28, 18)","(0, 16)","(28, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,5,"(0, 20)","(36, 18)","(0, 20)","(36, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,6,"(0, 24)","(32, 22)","(0, 24)","(32, 22)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,7,"(0, 28)","(40, 22)","(0, 28)","(40, 22)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_lut,8,"(0, 32)","(36, 26)","(0, 32)","(36, 26)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,0,"(0, 0)","(44, 18)","(0, 0)","(44, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,1,"(0, 4)","(36, 10)","(0, 4)","(36, 10)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,2,"(0, 8)","(40, 14)","(0, 8)","(40, 14)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,3,"(0, 12)","(32, 14)","(0, 12)","(32, 14)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,4,"(0, 16)","(28, 18)","(0, 16)","(28, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,5,"(0, 20)","(36, 18)","(0, 20)","(36, 18)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,6,"(0, 24)","(32, 22)","(0, 24)","(32, 22)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,7,"(0, 28)","(40, 22)","(0, 28)","(40, 22)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
matching_final,8,"(0, 32)","(36, 26)","(0, 32)","(36, 26)",68,0,68,68,0,8,0,0.102,0.24,0.0,0.342
