net,base_length_grid,base_metric_length_grid,target_length_grid,requested_delta_grid,final_length_grid,final_metric_length_grid,status,u_bend_start_idx
0,68,68,68,0,68,68,already_at_or_above_target,
1,68,68,68,0,68,68,already_at_or_above_target,
2,68,68,68,0,68,68,already_at_or_above_target,
3,68,68,68,0,68,68,already_at_or_above_target,
4,68,68,68,0,68,68,already_at_or_above_target,
5,68,68,68,0,68,68,already_at_or_above_target,
6,68,68,68,0,68,68,already_at_or_above_target,
7,68,68,68,0,68,68,already_at_or_above_target,
8,68,68,68,0,68,68,already_at_or_above_target,
