net,base_length_grid,base_metric_length_grid,base_bends,base_metric_bends,target_metric_bends,target_full_bends,final_length_grid,final_metric_length_grid,final_bends,final_metric_bends,status,operators
0,68,68,8,8,8,8,68,68,8,8,ok,
1,68,68,8,8,8,8,68,68,8,8,ok,
2,68,68,8,8,8,8,68,68,8,8,ok,
3,68,68,8,8,8,8,68,68,8,8,ok,
4,68,68,8,8,8,8,68,68,8,8,ok,
5,68,68,8,8,8,8,68,68,8,8,ok,
6,68,68,8,8,8,8,68,68,8,8,ok,
7,68,68,8,8,8,8,68,68,8,8,ok,
8,68,68,8,8,8,8,68,68,8,8,ok,
