stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(0, 0)","(68, 64)","(0, 0)","(68, 64)",152,0,152,152,0,4,0,0.228,0.12,0.0,0.348
matching_astar,1,"(0, 8)","(72, 60)","(0, 8)","(72, 60)",136,0,136,152,-16,4,0,0.204,0.12,0.0,0.324
matching_astar,2,"(0, 16)","(64, 60)","(0, 16)","(64, 60)",128,0,128,152,-24,4,0,0.192,0.12,0.0,0.312
matching_astar,3,"(0, 24)","(68, 56)","(0, 24)","(68, 56)",112,0,112,152,-40,4,0,0.168,0.12,0.0,0.288
matching_astar,4,"(0, 32)","(60, 48)","(0, 32)","(60, 48)",76,0,76,152,-76,2,0,0.114,0.06,0.0,0.174
matching_astar,5,"(0, 40)","(64, 52)","(0, 40)","(64, 52)",76,0,76,152,-76,4,0,0.114,0.12,0.0,0.234
matching_astar,6,"(0, 48)","(56, 52)","(0, 48)","(56, 52)",60,0,60,152,-92,2,0,0.09,0.06,0.0,0.15
matching_astar,7,"(0, 56)","(60, 56)","(0, 56)","(60, 56)",64,0,64,152,-88,4,0,0.096,0.12,0.0,0.216
matching_astar,8,"(0, 64)","(52, 56)","(0, 64)","(52, 56)",60,0,60,152,-92,2,0,0.09,0.06,0.0,0.15
matching_astar,9,"(0, 72)","(48, 60)","(0, 72)","(48, 60)",60,0,60,152,-92,2,0,0.09,0.06,0.0,0.15
matching_astar,10,"(0, 80)","(56, 60)","(0, 80)","(56, 60)",76,0,76,152,-76,4,0,0.114,0.12,0.0,0.234
matching_astar,11,"(0, 88)","(52, 64)","(0, 88)","(52, 64)",76,0,76,152,-76,2,0,0.114,0.06,0.0,0.174
matching_astar,12,"(0, 96)","(60, 64)","(0, 96)","(60, 64)",92,0,92,152,-60,4,0,0.138,0.12,0.0,0.258
matching_astar,13,"(0, 104)","(56, 68)","(0, 104)","(56, 68)",92,0,92,152,-60,2,0,0.138,0.06,0.0,0.198
matching_astar,14,"(0, 112)","(64, 68)","(0, 112)","(64, 68)",108,0,108,152,-44,4,0,0.162,0.12,0.0,0.282
matching_astar,15,"(0, 120)","(60, 72)","(0, 120)","(60, 72)",108,0,108,152,-44,2,0,0.162,0.06,0.0,0.222
matching_detour,0,"(0, 0)","(68, 64)","(0, 0)","(68, 64)",152,0,152,152,0,4,0,0.228,0.12,0.0,0.348
matching_detour,1,"(0, 8)","(72, 60)","(0, 8)","(72, 60)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,2,"(0, 16)","(64, 60)","(0, 16)","(64, 60)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,3,"(0, 24)","(68, 56)","(0, 24)","(68, 56)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,4,"(0, 32)","(60, 48)","(0, 32)","(60, 48)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_detour,5,"(0, 40)","(64, 52)","(0, 40)","(64, 52)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,6,"(0, 48)","(56, 52)","(0, 48)","(56, 52)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_detour,7,"(0, 56)","(60, 56)","(0, 56)","(60, 56)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,8,"(0, 64)","(52, 56)","(0, 64)","(52, 56)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_detour,9,"(0, 72)","(48, 60)","(0, 72)","(48, 60)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_detour,10,"(0, 80)","(56, 60)","(0, 80)","(56, 60)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,11,"(0, 88)","(52, 64)","(0, 88)","(52, 64)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_detour,12,"(0, 96)","(60, 64)","(0, 96)","(60, 64)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,13,"(0, 104)","(56, 68)","(0, 104)","(56, 68)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_detour,14,"(0, 112)","(64, 68)","(0, 112)","(64, 68)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_detour,15,"(0, 120)","(60, 72)","(0, 120)","(60, 72)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
matching_lut,0,"(0, 0)","(68, 64)","(0, 0)","(68, 64)",152,0,152,152,0,4,0,0.228,0.12,0.0,0.348
matching_lut,1,"(0, 8)","(72, 60)","(0, 8)","(72, 60)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_lut,2,"(0, 16)","(64, 60)","(0, 16)","(64, 60)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_lut,3,"(0, 24)","(68, 56)","(0, 24)","(68, 56)",152,0,152,152,0,10,0,0.228,0.3,0.0,0.528
matching_lut,4,"(0, 32)","(60, 48)","(0, 32)","(60, 48)",152,0,152,152,0,8,0,0.228,0.24,0.0,0.468
