net,base_length_grid,base_metric_length_grid,target_length_grid,requested_delta_grid,final_length_grid,final_metric_length_grid,status,u_bend_start_idx
0,30,30,30,0,30,30,already_at_or_above_target,
1,30,30,30,0,30,30,already_at_or_above_target,
