net,base_length_grid,base_metric_length_grid,base_bends,base_metric_bends,target_metric_bends,target_full_bends,final_length_grid,final_metric_length_grid,final_bends,final_metric_bends,status,operators
0,30,30,2,2,6,6,30,30,6,6,ok,"monotonic_staircase_insert+4@(0, 2)"
1,30,30,6,6,6,6,30,30,6,6,ok,
