net,base_length_grid,base_metric_length_grid,target_length_grid,requested_delta_grid,final_length_grid,final_metric_length_grid,status,u_bend_start_idx
0,285,285,286,0.5,286,286,ok,1
1,286,286,286,0,286,286,already_at_or_above_target,
2,285,285,286,0.5,286,286,ok,1
3,285,285,286,0.5,286,286,ok,1
4,286,286,286,0,286,286,already_at_or_above_target,
5,285,285,286,0.5,286,286,ok,1
6,285,285,286,0.5,286,286,ok,1
7,286,286,286,0,286,286,already_at_or_above_target,
